house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area (m2),building_area (m2),category
Dijual Cepat Kost Aktif Dekat Alun Alun Bandung Area Asia Afrika,"Bandung Kidul, Bandung",15,15,1,3500000000,126,300,kos
"Rumah Terawat Ada Taman Nyaman Huni di Buana Mekar, Logam","Bandung Kidul, Bandung",4,3,1,1600000000,187,130,rumah
Rumah besar murah bebas banjir di Baleendah,"Bandung Kidul, Bandung",5,3,1,1700000000,280,200,rumah
Rumah murah sekali di Baleendah bebas banjir,"Bandung Kidul, Bandung",2,1,0,350000000,60,50,rumah
Rumah di Baleendah bebas banjir Perumahan Bumi Siliwangi,"Bandung Kidul, Bandung",3,1,0,980000000,124,68,rumah
Rumah murah di kawasan elite Bumi Siliwangi Baleendah,"Bandung Kidul, Bandung",4,2,0,750000000,106,100,rumah
Rumah murah di bandung kota siap huni 3 lantai,"Bandung Kidul, Bandung",4,2,0,1500000000,91,140,rumah
Rumah Cantik Luas di Komplek Bank Duta Batununggal,"Bandung Kidul, Bandung",5,5,0,3000000000,195,360,rumah
Bikin Kejutan Rumah Bagus Wow Banget Lokasi Di Bandung Kidul,"Bandung Kidul, Bandung",5,3,1,1500000000,120,340,rumah
Rumah Terawat Lokasi Strategis di Sadang Serang Bandung,"Bandung Kidul, Bandung",5,2,0,1380000000,79,145,rumah
Rumah Komplek Batuindah Dekat Batununggal Buahbatu Ref.03406,"Bandung Kidul, Bandung",7,4,1,2100000000,181,300,rumah
Rumah Terawat Siap Huni Komplek Batununggal Buahbatu Ref.03407,"Bandung Kidul, Bandung",4,3,1,2600000000,180,150,rumah
"Rumah Modern Minimalis Sayap Ciwastra, Buahbatu Ref.03424","Bandung Kidul, Bandung",3,1,1,1000000000,98,70,rumah
Rumah Nyaman Siap Huni di Komplek Batununggal,"Bandung Kidul, Bandung",3,3,1,4000000000,180,200,rumah
Dijual Rumah Bagus Terawat di Buanasari Raya Ciwastra SHM,"Bandung Kidul, Bandung",3,3,0,2500000000,320,280,rumah
Rumah Bagus 2 lantai di terusan Logam Ciwastra sudah renovasi ,"Bandung Kidul, Bandung",6,4,3,2750000000,290,450,rumah
"Rumah 2 Lantai Bagus Unfurnished SHM di Mengger, Bandung","Bandung Kidul, Bandung",6,4,1,3030000000,128,270,rumah
Rumah Terawat Setrategis di Area Batunulnggal Indah Buahbatu -AG,"Bandung Kidul, Bandung",4,2,1,2750000000,161,200,rumah
Rumah Baru di Pasteur Cluster Modern 4KM Borma Cijerah Cicendo,"Bandung Kidul, Bandung",4,3,2,1990000000,104,125,rumah
Rumah Baru di Pasteur Cluster Modern 4KM Borma Cijerah Cicendo,"Bandung Kidul, Bandung",12,3,2,1990000000,104,125,rumah
Rumah Baru di Pasteur Cluster Modern 4KM Borma Cijerah Cicendo,"Bandung Kidul, Bandung",12,3,10,1990000000,104,125,rumah
Rumah Semi Furnished di Cluster Batununggal Bagus Siap Huni,"Bandung Kidul, Bandung",4,3,0,3300000000,140,300,rumah
Di Jual Rumah Siap Huni Atau Renovasi di Batununggal,"Bandung Kidul, Bandung",6,5,1,4300000000,442,250,rumah
Teja Sukmana Rumah Modern Termurah di Amaya Residence Bandung,"Bandung Kidul, Bandung",4,3,1,2300000000,181,220,rumah
Teja Sukmana Rumah Asri Termurah di Jl.waas Batununggal Bandung,"Bandung Kidul, Bandung",6,4,1,1900000000,196,380,rumah
Rumah Luas Full Furnished di Haji Bardan Kujang Sari Bandung ,"Bandung Kidul, Bandung",5,3,0,9000000000,981,169,rumah
Dijual Cepat Rumah Bagus Minimalis di Batununggal Indah,"Bandung Kidul, Bandung",4,3,3,4200000000,198,258,rumah
Dijual Rumah 2 Lantai Bangunan Masih Baru Siap Huni Ciwastra Bandung Kidul,"Bandung Kidul, Bandung",3,2,1,900000000,87,120,rumah
"Dijual Rumah Siap Huni, Posisi Pojok Komplek Jaka Purwa Jalan Logam Ciwastra","Bandung Kidul, Bandung",3,3,1,880000000,147,100,rumah
For Sale Rumah Baru Classic Minimalis Batununggal,"Bandung Kidul, Bandung",4,4,2,4650000000,200,270,rumah
Jual Rumah 1Lantai Minimalis Bebas Banjir Di Bandung,"Bandung Kidul, Bandung",2,1,1,180000000,50,30,rumah
Jual Rumah Ideal Murah Dekat Tol Buah Batu di Kembar Mas Bandung,"Bandung Kidul, Bandung",3,2,0,1300000000,126,80,rumah
"Rumah di Suryamas Residence, Kujang sari SHM dekat Tol Buah Batu","Bandung Kidul, Bandung",2,1,0,850000000,101,60,rumah
Rumah Curug Candung Moh Toha Siap Huni Jual Cepat Nego Sampai Deal,"Bandung Kidul, Bandung",4,4,3,1920000000,389,249,rumah
Turun Harga Rumah Batununggal Indah Bandung,"Bandung Kidul, Bandung",4,4,2,6500000000,375,560,rumah
"Rumah Siap Huni Batununggal, Terusan Buah Batu, Soekarno Hatta","Bandung Kidul, Bandung",3,3,1,1350000000,131,90,rumah
Dijual Rumah Murah di Jakapurwa Margacinta 600 Juta,"Bandung Kidul, Bandung",3,2,1,600000000,81,50,rumah
Rumah Bagus Luas Siap Huni Lokasi di Cidadas Bandung,"Bandung Kidul, Bandung",3,2,1,875000000,104,70,rumah
Rumah Asri Dan Nyaman di Bandung,"Bandung Kidul, Bandung",3,1,1,2150000000,420,678,rumah
Rumah siap huni di komplek Batununggal Permai kota Bandung,"Bandung Kidul, Bandung",4,3,0,5700000000,375,211,rumah
Rumah Luxury & Exclusive dan Mewah 2 Lt di Jl Taman Siswa ( Lodaya Bandung) di Tengah Kota Bandung,"Bandung Kidul, Bandung",4,5,0,5800000000,236,400,rumah
Dijual Rumah minimalis bagus siap huni furnished di cluster Batununggal one gate  sistem,"Bandung Kidul, Bandung",3,2,0,2950000000,162,200,rumah
Rumah Bagus Terjangkau di Komplek Batu Mulia Mengger Bandung ,"Bandung Kidul, Bandung",3,2,1,1250000000,112,70,rumah
Rumah di Batu Indah Batununggal Kota Bandung Siap Huni,"Bandung Kidul, Bandung",4,3,2,3500000000,319,210,rumah
"Dijual Rumah Murah bgt, BU, Siap huni di Riung Bandung, Soekarno Hatta","Bandung Kidul, Bandung",2,2,1,470000000,60,80,rumah
Rumah Mewah Strategis Di Buahbatu Kota Bandung Dekat Rs Mayapada,"Bandung Kidul, Bandung",6,3,1,5000000000,296,200,rumah
"Dijual Rumah di Batununggal Sentosa, Bandung","Bandung Kidul, Bandung",5,4,2,6500000000,333,400,rumah
For Sale Rent Cluster Baru di Tki V Bandung ,"Bandung Kidul, Bandung",4,2,0,45000000,102,90,unknown
"Rumah Mewah Pusat Kota di Batu Indah Raya, Terusan Buah Batu","Bandung Kidul, Bandung",7,6,6,9500000000,527,371,rumah
"Rumah Asri Dalam Komplek Tengah Kota di Parakan Wangi, Buah Batu","Bandung Kidul, Bandung",3,2,1,2600000000,226,150,rumah
Murah Banget Rumah Nyaman Komplek Parakan Waas Harus Beli 2,"Bandung Kidul, Bandung",2,3,0,750000000,70,120,rumah
Rumah Besar Luas di Komplek Jakapurwa Bandung Kidul,"Bandung Kidul, Bandung",6,4,6,4000000000,560,300,rumah
Rumah Baru Keren di Batununggal Minimalis Luxurious Murah,"Bandung Kidul, Bandung",3,3,0,4300000000,200,250,rumah
Rumah Sultan Mewah di Komplek Batununggal,"Bandung Kidul, Bandung",4,4,2,9500000000,473,550,rumah
Rumah Luxury Super Cantik Murah di Sumber Sari Bandung,"Bandung Kidul, Bandung",4,2,1,7500000000,337,400,rumah
Rumah Lebar Dan Siap Huni di Sumber Sari Bandung,"Bandung Kidul, Bandung",4,3,1,5250000000,458,400,rumah
Dijual Rumah Lokasi Strategis di Sayap Jl.logam,"Bandung Kidul, Bandung",3,2,0,850000000,94,94,rumah
Rumah Podomoro Park Komplek Mewah di Bandung Selatan,"Bandung Kidul, Bandung",4,4,0,3200000000,162,132,rumah
Rumah Siap Huni di Komplek Sapta Taruna dekat TransMart Buah Batu dan Universitas Telkom,"Bandung Kidul, Bandung",2,1,0,650000000,54,42,rumah
Dijual Rumah Lokasi di Komplek Jaka Purwa Logam Bandung,"Bandung Kidul, Bandung",3,2,0,1300000000,250,220,rumah
Rmh mewah dlm.Komp Perumahan ,"Bandung Kidul, Bandung",0,0,0,9300000000,540,625,rumah
Rumah mewah di jual cepat di Batununggal ,"Bandung Kidul, Bandung",6,4,2,4200000000,446,432,rumah
DIJUAL CEPAT RUMAH CANTIK TAMAN KOPO INDAH GERCEP NEGO DEAL,"Bandung Kidul, Bandung",3,2,0,1100000000,113,90,rumah
Rumah Cocok Untuk Usaha di Batununggal Indah Raya,"Bandung Kidul, Bandung",1,3,2,3000000000,200,300,rumah
Rumah Parakan Permai Batununggal Bandung Kidul,"Bandung Kidul, Bandung",4,3,1,3700000000,186,300,rumah
Rumah Semi Furnished di Komplek Nuansa Indah Buah Batu,"Bandung Kidul, Bandung",3,3,0,1790000000,105,120,rumah
Rumah Komplek Nuansa Indah Ciparay Terusan Buah Batu Deket Tol,"Bandung Kidul, Bandung",3,3,1,1790000000,105,120,rumah
Dijual Rumah Taman Holis 2,"Bandung Kidul, Bandung",2,2,0,950000000,90,70,rumah
Rumah mewah strategis siap huni di Buana Sari Kota Bandung ,"Bandung Kidul, Bandung",6,5,4,2750000000,286,450,rumah
"Rumah Kost Jual Bandung Kidul, Bandung Jawa Barat","Bandung Kidul, Bandung",50,50,0,28000000000,1000,1700,kos
Rumah Cisaranten Kulon Bandung,"Bandung Kidul, Bandung",3,3,0,1950000000,119,200,rumah
Rumah Mewah pusat kota bandung di Jl Batununggal Abadi kota Bandung,"Bandung Kidul, Bandung",5,3,0,9200000000,408,500,rumah
Rumah siap huni lokasi strategis pusat kota Bandung di Komplek Batununggal Permai,"Bandung Kidul, Bandung",4,3,0,3200000000,190,300,rumah
Rumah Sultan Siap Huni Di mainroad Jl Moh Toha Bandung sebelum Pintu Tol Moh Toha,"Bandung Kidul, Bandung",4,6,0,22000000000,800,1000,rumah
Dijual Rumah Baru Minimalis Industrial di Kopo Soreang Bandung Selatan ,"Bandung Kidul, Bandung",2,2,1,735000000000,66,56,rumah
Rumah terawat pusat kota sayap buah batu batununggal banding Rumah,"Bandung Kidul, Bandung",6,3,1,3800000000,296,200,rumah
Rumah Gaya Amerika di Komplek Villa Bukitmas Bojongkoneng Bandung,"Bandung Kidul, Bandung",4,3,0,3500000000,320,300,rumah
Rumah Nyaman Terawat di Batununggal Sentosa,"Bandung Kidul, Bandung",5,4,1,6000000000,300,350,rumah
Rumah Nyaman Terawat Siap Huni di Batununggal Asih,"Bandung Kidul, Bandung",3,2,2,1900000000,111,102,rumah
Rumah Lux Super Mewah Full Furnished Batununggal Indah Dijual,"Bandung Kidul, Bandung",6,6,2,10000000000,450,600,rumah
Rumah di Perumahan Bumi Siliwangi Baleendah Murah Minimalis Modern,"Bandung Kidul, Bandung",2,2,0,1370000000,192,45,rumah
Rumah murah Perumahan Bumi Siliwangi siap huni di Baleendah,"Bandung Kidul, Bandung",4,2,0,750000000,106,100,rumah
Rumah Perumahan Bumi Siliwangi Di Baleendah bebas banjir,"Bandung Kidul, Bandung",3,2,0,1950000000,199,120,rumah
For Sale Rumah di Komplek Batununggal Indah,"Bandung Kidul, Bandung",8,6,0,9750000000,375,800,rumah
For Sale Rumah Mewah Minimalis di Komplek Batununggal Indah,"Bandung Kidul, Bandung",8,6,2,9750000000,375,800,rumah
For Sale Rumah Tinggal di Batununggal Lestari,"Bandung Kidul, Bandung",4,3,1,3200000000,200,158,rumah
Rumah Baru di Sekelimus Batununggal Dekat Tol Buah Batu Bandung,"Bandung Kidul, Bandung",3,2,1,1170000000,112,90,rumah
Dijual Rumah Mewah Komplek Pasirluyu Bandung ,"Bandung Kidul, Bandung",4,2,1,7500000000,400,550,rumah
Rumah terawat murah sapta taruna terusan buahbatu bandung,"Bandung Kidul, Bandung",5,2,0,1400000000,70,160,rumah
Dijual Rumah Ah Nasution ,"Bandung Kidul, Bandung",1,2,1,9000000000,891,400,rumah
"Rumah Lux Bagus Di Komplek Perumahan Batu Nunggal Rumah Semi Furnished Bagus SHM - Sertifikat Hak Milik di Batununggal indah, Bandung Kidul","Bandung Kidul, Bandung",3,3,2,2800000000,126,180,rumah
Dijual Murah ( BU ) Villa di Bandung,"Bandung Kidul, Bandung",0,0,0,4800000000,4000,800,unknown
Dijual Kost kostan 18 Kamar Lokasi Strategis di Pusat Kota,"Bandung Kidul, Bandung",18,8,1,2550000000,257,384,kos
Dijual Rumah Jarang Ada Lokasi Strategis di Sayap Jl. Supratman,"Bandung Kidul, Bandung",11,3,3,7990000000,390,265,rumah
Rumah Full Renovasi Komplek Sutera Graha Samping Batununggal Indah Bandung,"Bandung Kidul, Bandung",4,3,1,1320000000,112,140,rumah
Rumah Murah Harga Spesial di Bandung Selatan ,"Bandung Kidul, Bandung",2,1,1,150000000,60,36,rumah
Murah Rumah Nyaman di Batununggal Mulia Xiii,"Bandung Kidul, Bandung",5,2,2,4400000000,352,216,rumah
Rumah Asri Termurah di Jl.waas Batununggal Bandung,"Bandung Kidul, Bandung",6,4,1,1900000000,196,380,rumah
Rumah Modern Termurah di Amaya Residence Bandung,"Bandung Kidul, Bandung",4,3,3,2300000000,181,220,rumah
Dijual Rumah Murah di Sekelimus Kota Bandung,"Bandung Kidul, Bandung",2,2,1,1350000000,112,85,rumah
Dijual Rumah Strategis 2 Lantai Di Batununggal Kota Bandung,"Bandung Kidul, Bandung",4,3,2,6250000000,370,250,rumah
Rumah Strategis Sayap Batununggal Bandung Dekat Tol Moh Toha,"Bandung Kidul, Bandung",4,3,2,2900000000,186,160,rumah
Jual Cepat Rumah mewah 2Lantai Komplek Elit Batununggal Bandung,"Bandung Kidul, Bandung",5,4,2,6500000000,360,400,rumah
Rumah Bagus siap Huni,"Bandung Kulon, Bandung",3,3,0,1950000000,220,300,rumah
"Rumah 1 1 2 Lantai SHM di Komplek Bojong Raya , Bandung","Bandung Kulon, Bandung",7,2,2,2100000000,216,150,rumah
KEBANGETAN MURAHNYA RUMAH LUAS DALAM KOMPLEK CIJERAH BANDUNG,"Bandung Kulon, Bandung",3,1,1,850000000,178,140,rumah
Rumah Bisa Untuk Tempat Kerja Dekat Sekolah Pasar di Aksan,"Bandung Kulon, Bandung",3,1,3,4100000000,536,300,rumah
"Di jual cepat rumah sayap sudirman,","Bandung Kulon, Bandung",3,2,2,3500000000,303,150,rumah
"Bawa Hoki, Fengshui Bagus! Tinggal dan Usaha 1,5 lantai di Taman Holis Indah , Harga Bagus!","Bandung Kulon, Bandung",4,2,1,1120000000,96,108,unknown
Dijual Rumah Furnished Siap Huni Taman Holis Indah 2 Bandung,"Bandung Kulon, Bandung",4,3,0,5000000000,405,350,rumah
For Sale Rumah Di Taman Holis Indah 1 Kota Bandung,"Bandung Kulon, Bandung",3,2,0,1100000000,112,90,rumah
Dijual Rumah Tinggal Di Taman Holis Indah 1 Kota Bandung,"Bandung Kulon, Bandung",3,2,0,1300000000,96,140,rumah
10 Menit Ke Tol Pasirkoja Rumah di Cluster Ketapang Kencana Sudirman Area Suryani,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
"Rumah Bagus Semi Furnished SHM di Sayap Soekarno Hatta , Bandung","Bandung Kulon, Bandung",2,1,2,890000000,78,45,rumah
Rumah Bagussiap Huni Nyaman SHM di Taman Holis Indah Bandung,"Bandung Kulon, Bandung",6,3,2,1800000000,153,140,rumah
Rumah Terawat Bagus Akses 2 Mobil SHM di Cijerah Kota Bandung,"Bandung Kulon, Bandung",3,1,2,1100000000,114,90,rumah
Rumah Hook Strategis Luas Dalam Komplek Di Jl.holis Kota Bandung,"Bandung Kulon, Bandung",4,3,4,3700000000,289,200,rumah
Rumah Murah Bandung Satu Ini Udah Sama Kolam Ikan Asik Banget,"Bandung Kulon, Bandung",3,2,1,600000000,72,88,rumah
Rumah Baru di Komplek Taman Holis Indah,"Bandung Kulon, Bandung",3,1,1,1020000000,86,76,rumah
Rumah di Caringin Bandung Kulon Jawa Barat ,"Bandung Kulon, Bandung",3,2,3,2200000000,200,132,rumah
Rumah Kontrakan 2 Pintu Bagus di Cijerah Bandung Kulon   ,"Bandung Kulon, Bandung",4,4,0,800000000,90,150,rumah
Dijual Rumah Di Sayap Jalan Pahlawan Bandung,"Bandung Kulon, Bandung",4,2,1,8500000000,459,303,rumah
Rumah bagus kokoh jual murah ,"Bandung Kulon, Bandung",3,2,2,1100000000,182,120,rumah
"Rumah Baru Full Furnish, Modern Scandinavian Style di Taman Holis Indah","Bandung Kulon, Bandung",4,3,1,1870000000,162,142,rumah
Rumah Mungil  Dalam Cluster di Sayap Pasirkoja ,"Bandung Kulon, Bandung",2,1,0,890000000,78,45,rumah
Dijual Rumah di Gempol Asri 10 Mnt Dari Pasko,"Bandung Kulon, Bandung",3,1,1,950000000,90,117,rumah
Jual Rumah Cantik di Gempol Asri 10 Menit Dari Pasko,"Bandung Kulon, Bandung",3,1,1,950000000,90,117,rumah
"Rumah 2 Lantai Bagus Unfurnished SHM di Jendral Sudirman, Bandung","Bandung Kulon, Bandung",6,3,2,25000000000,1199,1199,rumah
Rumah 2 Lantai Butuh Renovasi SHM hadap Timur di Istana Regency Sudirman,"Bandung Kulon, Bandung",2,2,1,1100000000,53,50,rumah
Rumah Hook Mewah Mainroad di Taman Holis indah Full Furnished ,"Bandung Kulon, Bandung",4,3,0,5500000000,405,300,rumah
"Rumah Bagus Siap Huni, di Gempol Sari, Bandung","Bandung Kulon, Bandung",4,3,1,1400000000,108,45,rumah
"Dijual rumah di komplek istana Sudirman, lingkungan aman,tenang","Bandung Kulon, Bandung",2,2,2,1100000000,53,58,rumah
Dijual Rumah Di Suryani Dalam Bandung Kulon ,"Bandung Kulon, Bandung",2,1,0,600000000,132,120,rumah
Dijual Rumah Di Rancamulya Bandung Selatan ,"Bandung Kulon, Bandung",3,2,0,1000000000,200,100,rumah
Dijual Rumah Di Taman Holis Indah ,"Bandung Kulon, Bandung",3,2,0,1800000000,190,160,rumah
Dijual Rumah Bagus Full Furnish Di Taman Holis Indah ,"Bandung Kulon, Bandung",7,6,0,5500000000,375,500,rumah
Dijual Rumah Bagus Di Daerah Cijerah,"Bandung Kulon, Bandung",3,1,1,1700000000,200,170,rumah
Di Jual Rumah Tinggal Mekar Indah Cijerah Kota Bandung,"Bandung Kulon, Bandung",5,2,0,2300000000,205,160,rumah
Jual Cepat BU Rumah Terawat Komplek Ketapang Kencana Sudirman ,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Jual Cepat Rumah di Ketapang Kencana Sudirman,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Rumah Bagus  nyaman siap huni di taman holis indah,"Bandung Kulon, Bandung",3,1,1,1020000000,86,76,rumah
Rumah terawat pusat kota di katapang kencana sudirman bandung,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Rumah dalam cluster di temgah kota Bandung,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
"Dijual Rumah di Komplek Taman Burung, Cijerah","Bandung Kulon, Bandung",2,1,2,1100000000,140,98,rumah
Dijual CEPAT Rumah Pusat Kota dibawah 1 M Dalam Cluster ,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
"[JUAL CEPAT BU] Perumahan Ketapang Kencana Sudirman, Kec. Bandung Kulon, Kel. Warung Muncang","Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Jual Cepat Rumah Cluster dekat Tol Pasir Koja Bandung,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Rumah cluster baru strategis murah di bandung,"Bandung Kulon, Bandung",3,3,1,875000000,60,120,rumah
Dijual Rumah di Jend Sudirman 4 Lantai Siap Huni,"Bandung Kulon, Bandung",3,3,1,3750000000,104,325,rumah
"Rumah 1,5 Lantai Blok Depan di Komplek Taman Holis Indah Bandung","Bandung Kulon, Bandung",4,3,1,1900000000,195,180,rumah
Rumah Suasana Asri Lokasi Strategis Kawasan Komplek Permata Indah Cijerah,"Bandung Kulon, Bandung",4,2,0,1750000000,196,150,rumah
"Jual Cepat Rumah Bagus SHM di Bandung Kulon, Bandung","Bandung Kulon, Bandung",3,1,1,1450000000,207,150,rumah
Rumah Area Lembah Pakar Timur,"Bandung Kulon, Bandung",5,4,8,7000000000,1094,462,rumah
"Rumah 1,5 Lantai Strategis di Komplek Gempol Asri, Bandung","Bandung Kulon, Bandung",3,1,0,1050000000,90,117,rumah
"Jual Rumah Rajawali sakti dkt sekolah,paskal 23","Bandung Kulon, Bandung",4,1,0,1100000000,97,90,rumah
Rumah di Gempolsari 2 Lantai SHM Sudah Renovasi hadap Selatan,"Bandung Kulon, Bandung",3,3,1,875000000,60,120,rumah
"Rumah hook,nyaman dan bebas banjr di perumahan one gate sistem","Bandung Kulon, Bandung",3,2,1,1550000000,148,90,rumah
Rumah terawat siap huni di area Cijerah bandung,"Bandung Kulon, Bandung",3,1,0,1100000000,114,90,rumah
Rumah semi klasik siap huni 2 Lantai SHM kondisi Bagus,"Bandung Kulon, Bandung",5,2,1,1500000000,120,150,rumah
Rumah Bagus Lokasi One Gate System di Batununggal Abadi,"Bandung Kulon, Bandung",6,4,2,3600000000,162,225,rumah
Rumah di Bandung lokasi dekat ke Tol dan sarana umum,"Bandung Kulon, Bandung",2,1,1,175000000,60,36,rumah
Rumah Dijual SHM di Taman Holis Indah Bandung,"Bandung Kulon, Bandung",4,2,0,1700000000,153,162,rumah
Rumah Kos Taman Holis Indah 16 Kamar Full Bangunan,"Bandung Kulon, Bandung",16,3,0,950000000,102,140,kos
Cluster Private Di Dalam Perumahan Gempol Sari Indah,"Bandung Kulon, Bandung",2,2,1,775000000,66,80,rumah
Dijual Rumah 2 Lantai Lokasi Cisaranten Kulon Bandung,"Bandung Kulon, Bandung",0,0,0,2700000000,200,300,rumah
Rumah gempol asri,"Bandung Kulon, Bandung",2,1,1,800000000,100,72,rumah
Rumah Dijual 2 Lantai di Taman Holis Indah Bandung,"Bandung Kulon, Bandung",5,2,0,1550000000,110,160,rumah
Sekali Lirik Pasti Jatuh Cinta Sama Rumah Bagus di Taman Holis Indah 1 Ini,"Bandung Kulon, Bandung",4,3,2,1600000000,153,140,rumah
"Rumah 2 Lantai Bagus SHM di Bandung Kulon, Bandung","Bandung Kulon, Bandung",2,1,1,950000000,145,120,rumah
Rumah Bebas Banjir Aman Nyaman Huni di Gempol Asri,"Bandung Kulon, Bandung",2,2,1,900000000,122,70,rumah
Rumah Gempol Sari Siap Huni,"Bandung Kulon, Bandung",3,3,0,880000000,60,120,rumah
TURUN HARGA RUMAH LOKASI KOMPLEK SETIABUDI BANDUNG,"Bandung Kulon, Bandung",5,4,0,5250000000,664,555,rumah
"Rumah Minimalis Nyaman di Dirgantara, Gempol","Bandung Kulon, Bandung",3,2,0,590000000,63,70,rumah
Rumah Cocok Untuk Kost Juga di Cibolerang Raya,"Bandung Kulon, Bandung",6,6,2,2200000000,200,150,kos
Jual Taman Holis Indah,"Bandung Kulon, Bandung",2,2,1,1400000000,156,130,unknown
" Bawa Hoki. Fengshui Bagus 1,5 lantai di Taman Holis bisa tinggal dan usaha. Jarang ada!","Bandung Kulon, Bandung",4,2,1,1120000000,96,108,unknown
Rimah jual bagus di Puri Ayana ,"Bandung Kulon, Bandung",4,2,1,1200000000,119,120,unknown
Rumah Hunian Salam Komplek Gempol Sari Bandung Kulon,"Bandung Kulon, Bandung",2,1,1,1200000000,101,140,rumah
Dijual Rumah Mainroad Jalan Wastu Kencana Bandung ,"Bandung Kulon, Bandung",0,0,0,9500000000,512,552,rumah
"Dijual Rumah Bagus SHM di Gempol Sari Bandung Kulon, Bandung","Bandung Kulon, Bandung",2,2,0,1700000000,216,200,rumah
Dijual Rumah di Komplek Holis Pesona Taman Burung Hitung harga tanah saja,"Bandung Kulon, Bandung",3,1,0,850000000,179,100,rumah
Dijual 2 Unit Rumah Baru di Taman Holis Indah,"Bandung Kulon, Bandung",3,2,1,1450000000,90,120,rumah
Jual murah mau cepat Rumah di cijerah Kota Bandung,"Bandung Kulon, Bandung",3,3,1,850000000,179,70,rumah
Dijual Cepat Rumah Nyaman Siap Huni di Istana Sudirman Regency,"Bandung Kulon, Bandung",3,3,3,3750000000,219,300,rumah
"Dijual Rumah Nyaman Siap Huni di Istana Sudirman Regency, Bandung","Bandung Kulon, Bandung",3,3,3,3750000000,219,300,rumah
Rumah 2lt Siap Huni Cluster Furnished Melong Cijerah Bandung,"Bandung Kulon, Bandung",2,3,2,1350000000,80,100,rumah
Rumah Nyaman di Komplek Holis Pesona Taman Burung,"Bandung Kulon, Bandung",4,2,0,778000000,105,87,rumah
Dijual Rumah Baru Renovasi Siap Huni Cluster Gempol Sari Estate Cijerah Bandung,"Bandung Kulon, Bandung",3,3,2,980000000,102,120,rumah
"Rumah Strategis di Bumi Asri Gempol , Bandung","Bandung Kulon, Bandung",3,2,0,700000000,72,100,rumah
"Rumah Minimalis Terawat di Gempol Sari , Bandung","Bandung Kulon, Bandung",3,3,1,875000000,120,60,rumah
Rumah Murah Minimalis di Gempolsari,"Bandung Kulon, Bandung",2,1,1,700000000,117,117,rumah
Rumah Semi Furnish di Kompleks Taman Burung Gempol Sari Bandung,"Bandung Kulon, Bandung",4,3,2,1800000000,105,200,rumah
Rumah Luas Dijual Murah Dekat Borma Gempolsari Cijerah Bandung,"Bandung Kulon, Bandung",5,3,1,1650000000,120,230,rumah
Rumah 2 Lantai Belakang Toserba Borma Gempolsari Bandung,"Bandung Kulon, Bandung",5,3,0,1600000000,210,230,rumah
CEPAT  B. U  RUMAH BAGUS TENGAH KOTA BANDUNG,"Bandung Kulon, Bandung",2,1,0,890000000,78,45,rumah
Dijual Rumah Mainroad Taman Holis Indah Kota Bandung,"Bandung Kulon, Bandung",4,4,0,3600000000,300,400,rumah
Dijual Rumah Mainroad Taman Holis Indah Kota Bandung,"Bandung Kulon, Bandung",4,4,0,3600000000,300,400,rumah
Dijual Rumah di Melong Asih Regency Kota Bandung,"Bandung Kulon, Bandung",3,3,0,2600000000,207,207,rumah
"Rumah Bagus Tengah Kota Dalam Cluster di Suryani, Bandung Kulon","Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Rumah dijual Gempol Asri ,"Bandung Kulon, Bandung",3,2,1,750000000,90,79,rumah
Dijual Rumah di Perumahan Ketapang Kencana Sudirman Bandung Kulon Bandung,"Bandung Kulon, Bandung",2,1,0,890000000,78,45,rumah
Dijual Rumah Siap Huni Taman Holis Indah 1 Bandung,"Bandung Kulon, Bandung",6,4,0,4000000000,340,360,rumah
Dijual Rumah Tinggal di Perumahan Ketapang Kencana Sudirman,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Hunian nyaman didalam cluster ditengah kota Bandung.,"Bandung Kulon, Bandung",2,1,2,890000000,78,45,unknown
Di Jual Rumah Cluster Taman Burung Gempol Sari ,"Bandung Kulon, Bandung",4,2,1,2600000000,140,250,rumah
Di Jual Rumah Besar Di Gempol Sari ,"Bandung Kulon, Bandung",4,2,1,2600000000,140,250,rumah
Rumah Dalam Cluster Tengah Kota Cibuntu Sudirman Bandung,"Bandung Kulon, Bandung",2,1,1,890000000,78,45,rumah
Rumah lux minimalis murah jual cepat di taman holis indah 2,"Bandung Kulon, Bandung",4,3,2,2200000000,190,300,rumah
Rumah Bagus jual cepat murah di taman holis indah,"Bandung Kulon, Bandung",2,2,1,1100000000,112,90,rumah
Dijual Rumah Taman Holis Indah,"Bandung Kulon, Bandung",3,2,1,925000000,98,95,rumah
Rumah Murah 3 Lantai Siap Huni Lokasi Strategis ,"Bandung Kulon, Bandung",4,3,1,1450000000,105,200,rumah
